iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
LAO,Asia,Laos,12/10/2022,216047,20,13.571,758,0,0,29097.012,2.694,1.828,102.087,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7425058,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,12/10/2022,941284,1153,913.714,6023,4,2.143,502307.73,615.288,487.595,3214.12,2.135,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,12/10/2022,1216999,80,115.571,10688,1,1,217607.598,14.305,20.665,1911.086,0.179,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5592631,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,12/10/2022,34490,0,0,706,0,0,15117.552,0,0,309.452,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281454,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,12/10/2022,7985,0,1.571,294,0,0,1537.524,0,0.303,56.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5193416,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,12/10/2022,507012,2,0.429,6437,0,0,75277.082,0.297,0.064,955.714,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6735277,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,12/10/2022,20263,52,40.714,86,0,0,519045.058,1332.001,1042.913,2202.925,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39039,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,12/10/2022,1259428,907,740.143,9350,3,2.143,451950.388,325.48,265.603,3355.282,1.077,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2786651,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,12/10/2022,2246753,160,227.714,47641,1,1.571,3200.836,0.228,0.324,67.872,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701926970,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,12/10/2022,96203965,11884,9629.143,1335285,72,77.143,28604.918,3.534,2.863,397.029,0.021,0.023,,,,,,,,,,,,,,,,,,,4622071477,2147545181,1926235787,596044901,,,137.43,63.85,57.27,17.72,,,,,3363196660,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,12/10/2022,296195,403,427.714,1136,1,0.571,463296.216,630.356,669.013,1776.885,1.564,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,12/10/2022,793,0,0,6,0,0,1154.955,0,0,8.739,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686607,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,12/10/2022,66687,0,0.429,1410,0,0,2306.26,0,0.015,48.763,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28915653,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,12/10/2022,88055,5,2.857,2682,0,0,4427.156,0.251,0.144,134.843,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19889742,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,12/10/2022,4859136,1628,1546,36407,1,2.857,144729.679,48.49,46.048,1084.385,0.03,0.085,,41,1.221,687,20.462,,,1320,39.316,,,,,,,,,,,,,,,,,,,,,,,,33573874,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,12/10/2022,185125,0,6.143,308,0,0,355014.21,0,11.78,590.652,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521458,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,12/10/2022,32698,1,1.286,742,0,0,1492.72,0.046,0.059,33.874,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21904983,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,12/10/2022,114918,8,20.143,806,0,0,218165.043,15.188,38.24,1530.143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526748,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,12/10/2022,15375,0,10,17,0,0,365636.147,0,237.812,404.281,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42050,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,12/10/2022,62984,24,19.571,995,0,0,13647.748,5.2,4.241,215.603,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614974,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,12/10/2022,263177,,,1028,0,0.286,202612.95,,,791.43,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
MEX,North America,Mexico,12/10/2022,7099723,1198,1251.143,330250,17,15.857,56033.426,9.455,9.874,2606.445,0.134,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126705138,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),12/10/2022,21673,,,51,0,2.571,191574.37,,,450.805,0,22.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113131,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,12/10/2022,591912,59,157.286,11870,,,193340.14,19.272,51.375,3877.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061506,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,12/10/2022,14774,10,13.857,63,0,0,402714.932,272.584,377.723,1717.276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36686,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,12/10/2022,983845,67,73,2131,0,0,293879.649,20.013,21.805,636.541,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347782,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,,,,
MNE,Europe,Montenegro,12/10/2022,281497,102,96.429,2782,0,0,448344.294,162.457,153.583,4430.931,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627859,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,,,,
MSR,North America,Montserrat,12/10/2022,1403,0,0,8,0,0,317636.405,0,0,1811.184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417,,,,,,,,,,,,,74.16,,,,,
MAR,Africa,Morocco,12/10/2022,1265138,23,15.143,16278,0,0,34122.291,0.62,0.408,439.037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37076584,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,12/10/2022,230370,0,8.286,2224,0,0.286,7181.765,0,0.258,69.333,0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32077072,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,12/10/2022,627328,346,311.571,19468,1,0.714,11660.787,6.431,5.791,361.872,0.019,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53798084,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
NAM,Africa,Namibia,12/10/2022,169253,0,0,4080,0,0,66894.426,0,0,1612.552,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530151,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,
NRU,Oceania,Nauru,12/10/2022,4611,0,0,1,0,0,368526.215,0,0,79.923,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,
NPL,Asia,Nepal,12/10/2022,999991,45,21.714,12018,0,0,33294.202,1.498,0.723,400.133,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30034989,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NLD,Europe,Netherlands,12/10/2022,8475771,,,22789,,,484282.838,,,1302.102,,,,48,2.743,1095,62.565,64,3.657,1030,58.851,,,,,,,,,,,,,,,,,,,,,,,,17501696,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,
NCL,Oceania,New Caledonia,12/10/2022,74315,0,0,314,0,0,258217.512,0,0,1091.035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287800,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,
NZL,Oceania,New Zealand,12/10/2022,1800685,2,1597.143,2055,,,351029.333,0.39,311.35,400.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129728,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
