iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ROU,Europe,Romania,12/10/2022,3277831,811,680.286,67103,6,5.286,169584.853,41.959,35.196,3471.702,0.31,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,
RUS,Europe,Russia,12/10/2022,20945428,15499,18398.286,380658,102,102.429,144348.934,106.814,126.795,2623.369,0.703,0.706,,,,,,,,12551,86.497,,,,,,,,,,178944598,85364255,77303623,18515514,,15554,123.32,58.83,53.28,12.76,107,6496,0.004,,145102755,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RWA,Africa,Rwanda,12/10/2022,132523,0,2.286,1467,0,0,9844.31,0,0.17,108.974,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13461888,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,,,,
SHN,Africa,Saint Helena,12/10/2022,1973,,,,,,365099.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404,,,,,,,,,,,,,80.56,,,,,
KNA,North America,Saint Kitts and Nevis,12/10/2022,6546,0,0.143,46,0,0,137503.676,0,3.001,966.265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47606,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,,,
LCA,North America,Saint Lucia,12/10/2022,29550,0,4.714,405,1,0.714,164484.67,0,26.241,2254.358,5.566,3.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179652,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,,,
SPM,North America,Saint Pierre and Miquelon,12/10/2022,3231,0,6.143,1,0,0,549209.587,0,1044.171,169.981,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883,,,,,,,,,,,,,81.07,,,,,
VCT,North America,Saint Vincent and the Grenadines,12/10/2022,9448,0,0,116,0,0,90557.068,0,0,1111.835,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104332,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,
WSM,Oceania,Samoa,12/10/2022,15942,0,0.143,29,0,0,72873.05,0,0.653,132.563,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218764,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,,,
SMR,Europe,San Marino,12/10/2022,21178,44,36.857,118,0,0,627570.675,1303.858,1092.193,3496.711,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
STP,Africa,Sao Tome and Principe,12/10/2022,6252,0,2.286,77,0,0,28022.429,0,10.245,345.126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223107,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,,,
SAU,Asia,Saudi Arabia,12/10/2022,818236,203,158.429,9374,2,1.857,22760.139,5.647,4.407,260.748,0.056,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35950396,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SEN,Africa,Senegal,12/10/2022,88544,0,11.714,1968,0,0,5246.517,0,0.694,116.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16876720,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
SRB,Europe,Serbia,12/10/2022,2383411,1731,1705.286,17108,9,8.286,346852.172,251.908,248.166,2489.687,1.31,1.206,,26,3.784,453,65.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871547,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,
SYC,Africa,Seychelles,12/10/2022,47141,0,0,169,0,0,442763.22,0,0,1587.302,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106470,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,,,,
SLE,Africa,Sierra Leone,12/10/2022,7752,0,0.143,126,0,0,920.595,0,0.017,14.963,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8420641,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SGP,Asia,Singapore,12/10/2022,1979259,9611,7028.143,1636,2,1.714,362927.057,1762.322,1288.716,299.985,0.367,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453600,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
SVK,Europe,Slovakia,12/10/2022,2634435,971,755.571,20491,6,3.429,483593.575,178.243,138.697,3761.458,1.101,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447622,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
SVN,Europe,Slovenia,12/10/2022,1209326,2285,2109.286,6847,2,2.571,570595.59,1078.13,995.223,3230.616,0.944,1.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119410,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,,,,
SLB,Oceania,Solomon Islands,12/10/2022,21544,0,0,153,0,0,30435.784,0,0,216.147,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707851,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,,,,
SOM,Africa,Somalia,12/10/2022,27223,0,1,1361,0,0,1595.199,0,0.059,79.751,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17065581,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,12/10/2022,4022107,361,280.714,102194,0,0,67721.069,6.078,4.726,1720.662,0,0,,,,,,,,,,,,,,,,,,,37692917,22350336,19421657,3758265,7032,4780,63.46,37.63,32.7,6.33,80,1849,0.003,,59392255,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,
OWID_SAM,,South America,12/10/2022,64080818,2827,8856.857,1330625,16,107.857,147666.397,6.514,20.41,3066.262,0.037,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433956670,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,12/10/2022,25052677,26928,20168.571,28748,25,25,483361.177,519.543,389.128,554.658,0.482,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51830139,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,12/10/2022,17823,0,0,138,0,0,1658.22,0,0,12.839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10748272,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,12/10/2022,13441941,,,114468,,,283066.09,,,2410.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47486935,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,12/10/2022,670896,12,10.857,16768,0,0.286,30812.585,0.551,0.499,770.113,0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21773441,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,12/10/2022,63375,31,12.857,4963,1,0.286,1388.061,0.679,0.282,108.701,0.022,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45657202,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
SUR,South America,Suriname,12/10/2022,81131,0,2.429,1385,0,0,132354.189,0,3.962,2259.439,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612984,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
SWE,Europe,Sweden,12/10/2022,2601153,,,20274,,,248507.585,,,1936.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10467097,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
CHE,Europe,Switzerland,12/10/2022,4164685,,,14021,1,0.571,479172.76,,,1613.203,0.115,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8691406,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
SYR,Asia,Syria,12/10/2022,57329,3,1.429,3163,0,0,2688.427,0.141,0.067,148.328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21324367,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
TWN,Asia,Taiwan,12/10/2022,6997376,52358,44551.429,11657,37,53.857,293269.145,2194.392,1867.208,488.56,1.551,2.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23859912,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
TJK,Asia,Tajikistan,12/10/2022,17786,0,0,125,0,0,1824.193,0,0,12.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9750064,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TZA,Africa,Tanzania,12/10/2022,39679,166,23.714,845,0,0,623.998,2.611,0.373,13.289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63588334,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
THA,Asia,Thailand,12/10/2022,4713909,28862,4539.571,32923,94,21.714,65835.704,403.094,63.401,459.811,1.313,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71601103,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
TLS,Asia,Timor,12/10/2022,23275,3,2.571,138,0,0,17620.001,2.271,1.947,104.471,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320942,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
TGO,Africa,Togo,12/10/2022,39219,0,8.571,287,0,0.143,4536.7,0,0.992,33.199,0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8644829,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
TON,Oceania,Tonga,12/10/2022,16182,0,0,12,0,0,152635.898,0,0,113.189,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106017,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
TTO,North America,Trinidad and Tobago,12/10/2022,183824,,,4224,,,120487.945,,,2768.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525663,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,,,,
TUN,Africa,Tunisia,12/10/2022,1145930,,,29254,0,0,93446.55,,,2385.561,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
TUR,Asia,Turkey,12/10/2022,16919638,,,101203,,,199581.921,,,1193.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84775404,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
TCA,North America,Turks and Caicos Islands,12/10/2022,6380,0,0,36,0,0,141419.515,0,0,797.978,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45114,37.312,,,,,,,,,,,,80.22,,,,,
TUV,Oceania,Tuvalu,12/10/2022,20,0,0,,,,1785.077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11204,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,,,,
UGA,Africa,Uganda,12/10/2022,169396,0,0,3630,0,0,3694.265,0,0,79.165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45853778,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
UKR,Europe,Ukraine,12/10/2022,5480392,141,169.429,117057,3,1.857,125895.083,3.239,3.892,2689.023,0.069,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43531422,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
ARE,Asia,United Arab Emirates,12/10/2022,1031837,337,344.429,2346,0,0,110178.445,35.984,36.778,250.503,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9365144,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
GBR,Europe,United Kingdom,12/10/2022,23735277,,,207528,0,0,352778.093,,,3084.495,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67281040,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,,,,
USA,North America,United States,12/10/2022,96836953,64686,38379.429,1064058,748,352.143,287352.035,191.948,113.886,3157.464,2.22,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336997624,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
OWID_UMC,,Upper middle income,12/10/2022,138430399,52224,44423.286,2494221,251,270,55340.55,20.878,17.759,997.119,0.1,0.108,,,,,,,,,,,,,,,,,,,5308337896,2092800772,1977275060,1215516298,,,212.21,83.66,79.05,48.59,,,,,2501427940,,,,,,,,,,,,,,,,,,
URY,South America,Uruguay,12/10/2022,987563,,,7501,0,0.857,288233.526,,,2189.268,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3426260,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,,,,
UZB,Asia,Uzbekistan,12/10/2022,244350,13,10.714,1637,0,0,7169.59,0.381,0.314,48.032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,
VUT,Oceania,Vanuatu,12/10/2022,11976,0,0.286,14,0,0,37526.321,0,0.895,43.868,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319136,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
VAT,Europe,Vatican,12/10/2022,29,0,0,,,,56751.468,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,,,75.12,,,,,
VEN,South America,Venezuela,12/10/2022,545013,47,15.143,5818,0,0,19326.794,1.667,0.537,206.313,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28199866,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
VNM,Asia,Vietnam,12/10/2022,11489881,1196,907.429,43155,1,0.571,117883.589,12.271,9.31,442.761,0.01,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97468028,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
WLF,Oceania,Wallis and Futuna,12/10/2022,761,0,0,7,0,0,65451.105,0,0,602.047,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11627,,,,,,,,,,,,,79.94,,,,,
OWID_WRL,,World,12/10/2022,623099545,587404,481514.143,6562162,1827,1373.571,78780.667,74.268,60.88,829.677,0.231,0.174,,,,,,,,,,,,,,,,,,,12798679727,5392452154,4964990815,2558475704,,,161.82,68.18,62.77,32.35,,,,,7909295152,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
YEM,Asia,Yemen,12/10/2022,11939,0,0,2158,0,0,361.989,0,0,65.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32981641,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
ZMB,Africa,Zambia,12/10/2022,333624,0,9.857,4017,0,0,17132.535,0,0.506,206.284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19473125,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,,,,
ZWE,Africa,Zimbabwe,12/10/2022,257798,49,32.857,5604,0,0.143,16118.899,3.064,2.054,350.392,0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15993524,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
